Family,Genus/Species,Common Name,
Pinaceae,Abies amabilis,Pacific silver fir,
Nyctaginaceae,Abronia latifolia,Coastal sand verbena,
Euphorbiaceae,Acalypha burquezii,No common name,
Sapindaceae,Acer circinatum,vine maple,
Berberidaceae,Achlys triphylla,vanilla leaf,
Asteraceae,Antennaria dimorpha,low pussytoes,
Apiaceae,Apium graveolens,celery,
Ophioglossaceae,Botrychium simplex,little grapefern,
Ophioglossaceae,Botrychium virginianum,rattlesnake fern,
Poaceae,"(""fuzzy cannonical match"")Calamagrostis howelii",no common name,
Ranunculaceae,Caltha palustris,marsh marigold,
Orchidaceae,Calypso bulbosa,calypso orchid,
Asparagaceae,Camassia quamash,common camas,
Brassicaceae,Camelina sativa,gold-of-pleasure,
Montiaceae,Cistanthe umbellata,mount hood pussypaws,
Ranunculaceae,Clematis ligusticifolia,old man's beard,
Apiaceae,Cogswellia macrocarpa,bigseed biscuitroot,
Cactaceae,Escobaria vivipara ,spinystar,
Euphorbiaceae ,Euphorbia helioscopia,sun spurge,
Limnanthaceae,Floerkea proserpinacoides,false mermaidweed,
Rubiaceae,Galium oreganum,oregon bedstraw,
Geraniaceae,Geranium viscosissimum,sticky geranium,
Cystopteridaceae,Gymnocarpium dryopteris,oak fern,
Asteraceae,Helenium bigelovii,bigelow's sneezeweed,
Hylocomiaceae,Hylocomium splendens,splendid feather moss,
